page	raw	simplified	best_site	score
PAGE 4	RODAPGGR22040X250X85	RODAPGGR22040X250X85	Rodas PGS 30x150x25	0.564
PAGE 4	RODAPGGR22050X150X45	RODAPGGR22050X150X45	Rodas PGS 30x150x25	0.667
PAGE 4	RODAPGGR22050X250X85	RODAPGGR22050X250X85	Rodas PGS 30x150x25	0.615
PAGE 4	RODAPGGR22050X300X110	RODAPGGR22050X300X110	Rodas PGS 30x150x25	0.5
PAGE 4	RODAPGGR24025X150X45	RODAPGGR24025X150X45	Rodas PGS 30x150x25	0.667
PAGE 4	RODAPGGR24025X250X85	RODAPGGR24025X250X85	Rodas PGS 25x250x85 - qualquer grão	0.566
PAGE 4	RODAPGGR24050X150X45	RODAPGGR24050X150X45	Rodas PGS 30x150x25	0.667
PAGE 4	RODAPGGR24050X250X85	RODAPGGR24050X250X85	Rodas PGS 30x150x25	0.615
PAGE 4	RODAPGGR28025X150X45	RODAPGGR28025X150X45	Rodas PGS 30x150x25	0.667
PAGE 4	RODAPGGR28025X250X85	RODAPGGR28025X250X85	Rodas PGS 25x250x85 - qualquer grão	0.566
PAGE 4	RODAPGGR28050X150X45	RODAPGGR28050X150X45	Rodas PGS 30x150x25	0.667
PAGE 4	RODAPGGR28050X250X85	RODAPGGR28050X250X85	Rodas PGS 30x150x25	0.615
PAGE 4	RODAPGGR32025X150X25	RODAPGGR32025X150X25	Rodas PGS 30x150x25	0.769
PAGE 4	RODAPGGR32025X150X45	RODAPGGR32025X150X45	Rodas PGS 30x150x25	0.718
PAGE 4	RODAPGGR32025X250X85	RODAPGGR32025X250X85	Rodas PGS 30x150x25	0.615
PAGE 4	RODAPGGR32030X150X25	RODAPGGR32030X150X25	Rodas PGS 30x150x25	0.769
PAGE 5	P.A1.16.350.32.4X4-RODAPLISSADATECALGRESAMARELO350X	P A1 16 350 32 4X4 RODAPLISSADATECALGRESAMARELO350X	Roda Plissada Algodão Rosa 300x32	0.5
PAGE 5	P.C1.16.250.13.4X4-RODAPLISSADATECALGCRU250X13	P C1 16 250 13 4X4 RODAPLISSADATECALGCRU250X13	Roda Plissada Algodão Rosa 300x32	0.481
PAGE 5	P.C1.16.250.32.4X4-RODAPLISSADATECALGCRU250X32	P C1 16 250 32 4X4 RODAPLISSADATECALGCRU250X32	Roda Plissada Algodão Rosa 300x32	0.506
PAGE 5	P.D.16.400.32.4X4-RODAPLISSADATECALGRESDURO400X32	P D 16 400 32 4X4 RODAPLISSADATECALGRESDURO400X32	Roda Plissada Algodão Rosa 300x32	0.561
PAGE 5	P.R.16.120.60.8-RODALISATECALGROSAEXDURO60HASTE	P R 16 120 60 8 RODALISATECALGROSAEXDURO60HASTE	Roda Plissada Algodão Rosa 300x32	0.4
PAGE 5	P.R.16.250.13.4X4-RODAPLISSADAROSAEXTRADURO250X13	P R 16 250 13 4X4 RODAPLISSADAROSAEXTRADURO250X13	Roda Plissada Algodão Rosa 300x32	0.463
PAGE 5	P.R.16.250.32.4X4-RODAPLISSADAROSAEXTRADURO250X32	P R 16 250 32 4X4 RODAPLISSADAROSAEXTRADURO250X32	Roda Plissada Algodão Rosa 300x32	0.488
PAGE 5	P.R.16.300.32.4X4-RODAPLISSADAROSAEXTRADURO300X32	P R 16 300 32 4X4 RODAPLISSADAROSAEXTRADURO300X32	Roda Plissada Algodão Rosa 300x32	0.537
PAGE 5	P.R.16.350.32.4X4-RODAPLISSADAROSAEXTRADURO350X32	P R 16 350 32 4X4 RODAPLISSADAROSAEXTRADURO350X32	Roda Plissada Algodão Rosa 300x32	0.512
PAGE 5	P.R.16.400.32.4X4-RODAPLISSADAROSAEXTRADURO400X32	P R 16 400 32 4X4 RODAPLISSADAROSAEXTRADURO400X32	Roda Plissada Algodão Rosa 300x32	0.512
PAGE 5	PANO RECICLADO	PANO RECICLADO	Sebo - kilo	0.435
PAGE 5	PGCOMROSCA-PGM14115X20MMGR100	PGCOMROSCA PGM14115X20MMGR100	Roda PG com Rosca M14 115x20mm	0.746
PAGE 5	PGCOMROSCA-PGM14115X20MMGR120	PGCOMROSCA PGM14115X20MMGR120	Roda PG com Rosca M14 115x20mm	0.746
PAGE 5	PGCOMROSCA-PGM14115X20MMGR150	PGCOMROSCA PGM14115X20MMGR150	Roda PG com Rosca M14 115x20mm	0.746
PAGE 5	PGCOMROSCA-PGM14115X20MMGR180	PGCOMROSCA PGM14115X20MMGR180	Roda PG com Rosca M14 115x20mm	0.746
PAGE 5	PGCOMROSCA-PGM14115X20MMGR220	PGCOMROSCA PGM14115X20MMGR220	Roda PG com Rosca M14 115x20mm	0.746
PAGE 5	PGCOMROSCA-PGM14115X20MMGR240	PGCOMROSCA PGM14115X20MMGR240	Roda PG com Rosca M14 115x20mm	0.746
PAGE 5	PGCOMROSCA-PGM14115X20MMGR320	PGCOMROSCA PGM14115X20MMGR320	Roda PG com Rosca M14 115x20mm	0.746
PAGE 5	PGCOMROSCA-PGM14115X20MMGR60	PGCOMROSCA PGM14115X20MMGR60	Roda PG com Rosca M14 115x20mm	0.759
PAGE 5	PGCOMROSCA-PGM14115X20MMGR80	PGCOMROSCA PGM14115X20MMGR80	Roda PG com Rosca M14 115x20mm	0.759
PAGE 5	PGCOMROSCAMISTO-PGLIXASCOTHBRITEM14115X2OMM80,180	PGCOMROSCAMISTO PGLIXASCOTHBRITEM14115X2OMM80 180	PG Misto Scoth Brite 25x150	0.553
PAGE 5	PGCOMROSCAMISTO-PGLIXASCOTHBRITEM14115X5OMM80,180	PGCOMROSCAMISTO PGLIXASCOTHBRITEM14115X5OMM80 180	PG Misto Scoth Brite 25x150	0.553
PAGE 5	POLIAALGODAO-POLIAALGODAO15OX13	POLIAALGODAO POLIAALGODAO15OX13	Roda Lisa Sisal/Algodão 1A 150x13	0.562
PAGE 5	POLIAALGODAO-POLIAALGODAO20OX13	POLIAALGODAO POLIAALGODAO20OX13	Roda Tela Sisal/Algodão 1A 200x13	0.562
PAGE 5	POLIAALGODAO-POLIAALGODAO25OX13	POLIAALGODAO POLIAALGODAO25OX13	Roda Ventilada Algodão Rosa 250x13	0.554
